IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£)
000281-01012017,1/1/17,2017,1:20:35 PM,13,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Correct incident location,SW6 2BN,SW6,34066629,21000085,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05000260,PARSONS GREEN AND WALHAM,PARSONS GREEN AND WALHAM,525917.0,176716.0,525950,176750,51.47540191,-0.188295836,London,Fulham,267.0,Fulham,457.0,Battersea,2.0,2.0,2.0,1.0,326.0
000327-01012017,1/1/17,2017,4:00:10 PM,16,False Alarm,AFA,,Other Residential,Hotel/motel ,Correct incident location,SW1H 0QW,SW1H,10033531703,8400926,E09000033,WESTMINSTER,Westminster,E05000644,ST. JAMES'S,ST. JAMES'S,529590.0,179446.0,529550,179450,51.4991075,-0.134436316,London,Lambeth,677.0,Lambeth,,,1.0,1.0,1.0,1.0,326.0
000468-01012017,1/1/17,2017,10:20:46 PM,22,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,NW1,0,20400805,E09000007,CAMDEN,Camden,E05000143,ST. PANCRAS AND SOMERS TOWN,ST. PANCRAS AND SOMERS TOWN,,,529550,183050,,,London,Euston,318.0,Soho,,,1.0,1.0,1.0,1.0,326.0
000289-01012017,1/1/17,2017,1:37:52 PM,13,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,KT5,0,21800168,E09000021,KINGSTON UPON THAMES,Kingston Upon thames,E05000401,BERRYLANDS,BERRYLANDS,,,518750,166950,,,London,Surbiton,490.0,Kingston,579.0,Kingston,1.0,2.0,2.0,1.0,326.0
000350-01012017,1/1/17,2017,4:48:16 PM,16,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W11,0,21701277,E09000020,KENSINGTON AND CHELSEA,Kensington And chelsea,E05009399,NOTTING DALE,NOTTING DALE,,,523850,180850,,,London,North Kensington,330.0,North Kensington,330.0,North Kensington,1.0,2.0,2.0,1.0,326.0
000412-01012017,1/1/17,2017,8:10:02 PM,20,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,E8,0,20900581,E09000012,HACKNEY,Hackney,E05009375,HAGGERSTON,HAGGERSTON,,,533550,183950,,,London,Shoreditch,263.0,Shoreditch,306.0,Islington,3.0,3.0,3.0,1.0,326.0
000336-01012017,1/1/17,2017,4:20:25 PM,16,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,E16,0,22207781,E09000025,NEWHAM,Newham,E05000479,CUSTOM HOUSE,CUSTOM HOUSE,,,540650,181250,,,London,Plaistow,211.0,Plaistow,,,2.0,2.0,2.0,1.0,326.0
000298-01012017,1/1/17,2017,2:17:24 PM,14,False Alarm,False alarm - Good intent,,Non Residential,Restaurant/cafe,Correct incident location,E4 7QH,E4,10091774658,22869100,E09000031,WALTHAM FOREST,Waltham Forest,E05000593,CHINGFORD GREEN,CHINGFORD GREEN,539649.0,194764.0,539650,194750,51.63435889,0.016467831000000002,London,Chingford,159.0,Chingford,296.0,Woodford,2.0,2.0,2.0,1.0,326.0
000051-01012017,1/1/17,2017,12:50:06 AM,0,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,E6 3EU,E6,46079106,22201202,E09000025,NEWHAM,Newham,E05000476,BOLEYN,BOLEYN,541703.0,182755.0,541750,182750,51.52593701,0.041286,London,East Ham,262.0,Plaistow,,,1.0,1.0,1.0,1.0,326.0
000429-01012017,1/1/17,2017,9:00:49 PM,21,False Alarm,AFA,,Non Residential,Pub/wine bar/bar ,Correct incident location,SE15 4HY,SE15,200003394409,22501092,E09000028,SOUTHWARK,Southwark,E05011103,Goose Green,Goose Green,534131.0,175641.0,534150,175650,51.46385520000001,-0.070498878,London,Peckham,314.0,Peckham,,,1.0,1.0,1.0,1.0,326.0
000427-01012017,1/1/17,2017,8:57:26 PM,20,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,WC1X,0,20400917,E09000007,CAMDEN,Camden,E05000138,HOLBORN AND COVENT GARDEN,HOLBORN AND COVENT GARDEN,,,530850,182250,,,London,Euston,281.0,Euston,303.0,Soho,2.0,2.0,2.0,1.0,326.0
000276-01012017,1/1/17,2017,12:57:24 PM,12,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,NW1,0,20400535,E09000007,CAMDEN,Camden,E05000131,CANTELOWES,CANTELOWES,,,529250,184550,,,London,Kentish Town,184.0,Kentish Town,228.0,Kentish Town,1.0,2.0,2.0,1.0,326.0
000003-01012017,1/1/17,2017,12:04:27 AM,0,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,,E9,0,20900534,E09000012,HACKNEY,Hackney,E05009379,KING'S PARK,KING'S PARK,,,536650,185450,,,London,Homerton,,,,,1.0,1.0,1.0,1.0,326.0
000234-01012017,1/1/17,2017,10:41:33 AM,10,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Correct incident location,SE15 3HE,SE15,200003387235,22500164,E09000028,SOUTHWARK,Southwark,E05011108,Nunhead & Queen's Road,Nunhead & Queen's Road,535242.0,175800.0,535250,175850,51.46501975,-0.054454762,London,New Cross,418.0,Greenwich,537.0,Deptford,2.0,2.0,2.0,1.0,326.0
000049-01012017,1/1/17,2017,12:47:43 AM,0,Fire,Secondary Fire,,Outdoor,Park ,On land associated with building,N1 6TA,N1,10008299575,20900735,E09000012,HACKNEY,Hackney,E05009377,HOXTON EAST & SHOREDITCH,HOXTON EAST & SHOREDITCH,532806.0,183457.0,532850,183450,51.53440694,-0.08662119,London,Shoreditch,332.0,Shoreditch,,,1.0,1.0,1.0,1.0,326.0
000127-01012017,1/1/17,2017,3:57:50 AM,3,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SE27,0,21901470,E09000022,LAMBETH,Lambeth,E05000424,KNIGHT'S HILL,KNIGHT'S HILL,,,531850,172350,,,London,West Norwood,206.0,West Norwood,230.0,West Norwood,1.0,2.0,2.0,1.0,326.0
000378-01012017,1/1/17,2017,7:05:55 PM,19,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,TW13,0,21501397,E09000018,HOUNSLOW,Hounslow,E05000352,FELTHAM WEST,FELTHAM WEST,,,510450,172950,,,London,Feltham,258.0,Feltham,279.0,Feltham,1.0,2.0,5.0,11.0,3586.0
000176-01012017,1/1/17,2017,7:06:25 AM,7,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,E14,0,22700185,E09000030,TOWER HAMLETS,Tower Hamlets,E05009326,LIMEHOUSE,LIMEHOUSE,,,536150,181050,,,London,Shadwell,285.0,Shadwell,295.0,Whitechapel,4.0,4.0,4.0,2.0,652.0
000361-01012017,1/1/17,2017,5:59:51 PM,17,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,RM2,0,21300588,E09000016,HAVERING,Havering,E05000322,SQUIRREL'S HEATH,SQUIRREL'S HEATH,,,553750,190250,,,London,Harold Hill,334.0,Hornchurch,477.0,Romford,2.0,2.0,2.0,1.0,326.0
000171-01012017,1/1/17,2017,6:56:31 AM,6,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SE11,0,21900463,E09000022,LAMBETH,Lambeth,E05000427,PRINCE'S,PRINCE'S,,,531050,178650,,,London,Lambeth,241.0,Lambeth,473.0,Dowgate,2.0,2.0,2.0,1.0,326.0
000138-01012017,1/1/17,2017,4:51:36 AM,4,False Alarm,AFA,,Non Residential,Trains - engine shed ,Correct incident location,DA8 2NJ,DA8,10015287831,20101050,E09000004,BEXLEY,Bexley,E05011231,Slade Green & Northend,Slade Green & Northend,552396.0,176403.0,552350,176450,51.46608276,0.192567438,London,Bexley,447.0,Erith,,,1.0,1.0,1.0,1.0,326.0
000257-01012017,1/1/17,2017,12:14:35 PM,12,False Alarm,AFA,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,N16,0,20900933,E09000012,HACKNEY,Hackney,E05009382,SHACKLEWELL,SHACKLEWELL,,,533650,185650,,,London,Stoke Newington,378.0,Homerton,392.0,Homerton,2.0,3.0,3.0,2.0,652.0
000314-01012017,1/1/17,2017,3:08:08 PM,15,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SE26,0,22001144,E09000023,LEWISHAM,Lewisham,E05000450,PERRY VALE,PERRY VALE,,,536350,172050,,,London,Forest Hill,436.0,Lewisham,467.0,Beckenham,2.0,2.0,2.0,1.0,326.0
000030-01012017,1/1/17,2017,12:33:41 AM,0,Fire,Primary Fire,,Non Residential,Private Garden Shed ,Correct incident location,,RM8,0,19900004,E09000002,BARKING AND DAGENHAM,Barking And dagenham,E05000040,VALENCE,VALENCE,,,547850,187450,,,London,Dagenham,327.0,Dagenham,422.0,Romford,2.0,2.0,2.0,5.0,1630.0
000086-01012017,1/1/17,2017,1:48:28 AM,1,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,,W3,0,20601052,E09000009,EALING,Ealing,E05000170,ACTON CENTRAL,ACTON CENTRAL,,,519850,180350,,,London,Acton,1176.0,West Hampstead,,,1.0,1.0,1.0,1.0,326.0
000359-01012017,1/1/17,2017,5:41:42 PM,17,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,UB6,0,20602353,E09000009,EALING,Ealing,E05000178,GREENFORD GREEN,GREENFORD GREEN,,,515250,184850,,,London,Northolt,,,,,1.0,1.0,1.0,1.0,326.0
000250-01012017,1/1/17,2017,11:51:28 AM,11,Special Service,Special Service,No action (not false alarm),Outdoor Structure,Railings,Open land/water - nearest gazetteer location,E9 5HP,E9,6057726,22700245,E09000030,TOWER HAMLETS,Tower Hamlets,E05009319,BOW EAST,BOW EAST,536912.0,184155.0,536950,184150,51.53969897,-0.027187312,London,Homerton,202.0,Homerton,,,1.0,1.0,1.0,1.0,326.0
000345-01012017,1/1/17,2017,4:32:40 PM,16,False Alarm,AFA,,Non Residential,Bulk gas storage,Correct incident location,RM13 8UH,RM13,100023214700,21300835,E09000016,HAVERING,Havering,E05000321,SOUTH HORNCHURCH,SOUTH HORNCHURCH,550820.0,181207.0,550850,181250,51.50966936,0.171949113,London,Wennington,475.0,Wennington,,,1.0,1.0,1.0,1.0,326.0
000436-01012017,1/1/17,2017,9:09:21 PM,21,False Alarm,AFA,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,DA8,0,20101041,E09000004,BEXLEY,Bexley,E05011228,Northumberland Heath,Northumberland Heath,,,550150,177250,,,London,Erith,245.0,Erith,393.0,Bexley,2.0,2.0,2.0,1.0,326.0
000141-01012017,1/1/17,2017,4:58:45 AM,4,Fire,Primary Fire,,Dwelling,Unlicensed House in Multiple Occupation - Up to 2 storeys ,Correct incident location,,SE6,0,22005976,E09000023,LEWISHAM,Lewisham,E05000437,BELLINGHAM,BELLINGHAM,,,537050,173050,,,London,Forest Hill,323.0,Lewisham,478.0,Lee Green,2.0,2.0,2.0,2.0,652.0
000312-01012017,1/1/17,2017,3:04:28 PM,15,Special Service,Special Service,Effecting entry/exit,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,KT6,0,21800651,E09000021,KINGSTON UPON THAMES,Kingston Upon thames,E05000412,ST. MARK'S,ST. MARK'S,,,517750,167350,,,London,Surbiton,374.0,Surbiton,,,1.0,1.0,1.0,1.0,326.0
000226-01012017,1/1/17,2017,10:15:32 AM,10,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,IG8,0,22305207,E09000026,REDBRIDGE,Redbridge,E05011238,Churchfields,Churchfields,,,541250,190950,,,London,Woodford,231.0,Woodford,,,1.0,1.0,2.0,1.0,326.0
000066-01012017,1/1/17,2017,1:15:45 AM,1,Fire,Secondary Fire,,Outdoor,Hedge,In street close to gazetteer location,E16 2HN,E16,46053701,22207817,E09000025,NEWHAM,Newham,E05000491,ROYAL DOCKS,ROYAL DOCKS,542458.0,180167.0,542450,180150,51.50249196,0.05111669,London,Plaistow,14.0,East Ham,,,1.0,1.0,1.0,1.0,326.0
000187-01012017,1/1/17,2017,7:59:23 AM,7,Special Service,Special Service,RTC,Road Vehicle,Car ,On motorway / elevated road,E1W 3WF,E1W,6647596,22700744,E09000030,TOWER HAMLETS,Tower Hamlets,E05009330,ST. KATHARINE'S & WAPPING,ST. KATHARINE'S & WAPPING,535946.0,180886.0,535950,180850,51.51055611,-0.042368758,London,Shadwell,329.0,Shadwell,441.0,Whitechapel,2.0,2.0,2.0,1.0,326.0
000354-01012017,1/1/17,2017,4:58:41 PM,16,Special Service,Special Service,RTC,Road Vehicle,Car ,Nearby address - no building in street,E18 1HA,E18,10023774604,22306446,E09000026,REDBRIDGE,Redbridge,E05011238,Churchfields,Churchfields,541354.0,190669.0,541350,190650,51.59713743,0.039437153,London,Woodford,174.0,Woodford,469.0,Walthamstow,2.0,2.0,2.0,3.0,978.0
000102-01012017,1/1/17,2017,2:25:09 AM,2,Special Service,Special Service,Flooding,Dwelling,House - single occupancy ,Correct incident location,,HA3,0,21201596,E09000015,HARROW,Harrow,E05000295,KENTON WEST,KENTON WEST,,,516850,188850,,,London,Stanmore,569.0,Stanmore,,,1.0,1.0,1.0,1.0,326.0
000376-01012017,1/1/17,2017,6:53:32 PM,18,Special Service,Special Service,Lift Release,Dwelling,House - single occupancy ,Correct incident location,,NW1,0,20400710,E09000007,CAMDEN,Camden,E05000130,CAMDEN TOWN WITH PRIMROSE HILL,CAMDEN TOWN WITH PRIMROSE HILL,,,528050,183750,,,London,Euston,360.0,Euston,,,1.0,1.0,1.0,1.0,326.0
000420-01012017,1/1/17,2017,8:28:25 PM,20,Special Service,Special Service,Flooding,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,N10,0,20041940,E09000003,BARNET,Barnet,E05000047,COPPETTS,COPPETTS,,,528650,191450,,,London,Finchley,572.0,Finchley,,,1.0,1.0,1.0,1.0,326.0
000322-01012017,1/1/17,2017,3:44:39 PM,15,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,DA15,0,20101079,E09000004,BEXLEY,Bexley,E05011220,Blackfen & Lamorbey,Blackfen & Lamorbey,,,545250,174850,,,London,Eltham,320.0,Eltham,689.0,Sidcup,2.0,2.0,2.0,1.0,326.0
000071-01012017,1/1/17,2017,1:29:24 AM,1,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,E15,0,22201624,E09000025,NEWHAM,Newham,E05000494,WEST HAM,WEST HAM,,,539350,184050,,,London,Stratford,269.0,Stratford,,,1.0,1.0,1.0,1.0,326.0
000196-01012017,1/1/17,2017,8:19:28 AM,8,False Alarm,AFA,,Non Residential,Large supermarket ,Correct incident location,E17 3HT,E17,100023585331,22888350,E09000031,WALTHAM FOREST,Waltham Forest,E05000609,WOOD STREET,WOOD STREET,538291.0,189920.0,538250,189950,51.59116692,-0.005050457,London,Walthamstow,215.0,Walthamstow,,,1.0,1.0,1.0,1.0,326.0
000209-01012017,1/1/17,2017,9:20:00 AM,9,Special Service,Special Service,RTC,Road Vehicle,Car ,On land associated with building,CR5 2HG,CR5,100020577639,20500342,E09000008,CROYDON,Croydon,E05011474,Old Coulsdon,Old Coulsdon,530716.0,158706.0,530750,158750,51.31245985,-0.125858708,London,Purley,281.0,Purley,528.0,Wallington,2.0,2.0,2.0,1.0,326.0
000476-01012017,1/1/17,2017,10:47:28 PM,22,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,E15,0,22200023,E09000025,NEWHAM,Newham,E05000483,FOREST GATE NORTH,FOREST GATE NORTH,,,539550,185150,,,London,Stratford,217.0,Stratford,275.0,Leytonstone,2.0,2.0,2.0,1.0,326.0
000060-01012017,1/1/17,2017,1:04:05 AM,1,Special Service,Special Service,Effecting entry/exit,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,W9,0,8401403,E09000033,WESTMINSTER,Westminster,E05000635,HARROW ROAD,HARROW ROAD,,,525450,182150,,,London,Paddington,247.0,Paddington,,,1.0,1.0,1.0,1.0,326.0
000162-01012017,1/1/17,2017,6:21:31 AM,6,Special Service,Special Service,RTC,Road Vehicle,Car ,In street close to gazetteer location,NW1 5HT,NW1,10033538190,8401066,E09000033,WESTMINSTER,Westminster,E05000641,MARYLEBONE HIGH STREET,MARYLEBONE HIGH STREET,528341.0,182095.0,528350,182050,51.52319863,-0.151456234,London,Euston,280.0,Paddington,331.0,Paddington,1.0,2.0,2.0,1.0,326.0
000252-01012017,1/1/17,2017,11:58:44 AM,11,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,E15,0,22201448,E09000025,NEWHAM,Newham,E05000494,WEST HAM,WEST HAM,,,539750,183450,,,London,Stratford,,,,,1.0,1.0,1.0,2.0,652.0
000221-01012017,1/1/17,2017,9:55:49 AM,9,Special Service,Special Service,No action (not false alarm),Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,HA2,0,21201921,E09000015,HARROW,Harrow,E05000301,ROXBOURNE,ROXBOURNE,,,512350,185850,,,London,Northolt,372.0,Northolt,415.0,Harrow,2.0,2.0,2.0,1.0,326.0
000058-01012017,1/1/17,2017,1:02:22 AM,1,False Alarm,False alarm - Good intent,,Non Residential,Central Government Office,Correct incident location,SW1X 7LF,SW1X,100023347598,8400987,E09000033,WESTMINSTER,Westminster,E05000637,KNIGHTSBRIDGE AND BELGRAVIA,KNIGHTSBRIDGE AND BELGRAVIA,527877.0,179777.0,527850,179750,51.50247192,-0.158981233,London,Kensington,300.0,Chelsea,310.0,Kensington,4.0,4.0,4.0,8.0,2608.0
000491-01012017,1/1/17,2017,11:44:28 PM,23,False Alarm,AFA,,Non Residential,Warehouse ,Within same building,DA17 6JY,DA17,10023302782,20101027,E09000004,BEXLEY,Bexley,E05011218,Belvedere,Belvedere,549899.0,180601.0,549850,180650,51.50446893,0.158430094,London,Erith,520.0,Plumstead,,,1.0,1.0,1.0,1.0,326.0
000125-01012017,1/1/17,2017,3:42:18 AM,3,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,RM1,0,21300937,E09000016,HAVERING,Havering,E05000319,ROMFORD TOWN,ROMFORD TOWN,,,551850,188450,,,London,Hornchurch,346.0,Romford,349.0,Hornchurch,2.0,2.0,2.0,1.0,326.0
000160-01012017,1/1/17,2017,6:08:28 AM,6,Special Service,Special Service,Suicide/attempts,Non Residential,Fire station ,Correct incident location,NW5 1NS,NW5,5024751,20400091,E09000007,CAMDEN,Camden,E05000139,KENTISH TOWN,KENTISH TOWN,528933.0,185393.0,528950,185350,51.55270273,-0.141720498,London,Kentish Town,3.0,Kentish Town,,,1.0,1.0,1.0,1.0,326.0
000205-01012017,1/1/17,2017,9:09:50 AM,9,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,SE4,0,22001382,E09000023,LEWISHAM,Lewisham,E05000441,CROFTON PARK,CROFTON PARK,,,536550,174050,,,London,Forest Hill,257.0,Lewisham,577.0,Greenwich,2.0,2.0,2.0,1.0,326.0
000395-01012017,1/1/17,2017,7:25:23 PM,19,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,RM1,0,21301604,E09000016,HAVERING,Havering,E05000306,BROOKLANDS,BROOKLANDS,,,551650,187550,,,London,Hornchurch,,,,,1.0,1.0,1.0,1.0,326.0
000005-01012017,1/1/17,2017,12:06:34 AM,0,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,N1,0,21605664,E09000019,ISLINGTON,Islington,E05000366,BARNSBURY,BARNSBURY,,,530750,183050,,,London,Euston,237.0,Euston,,,1.0,1.0,1.0,1.0,326.0
000484-01012017,1/1/17,2017,11:09:05 PM,23,Special Service,Special Service,Effecting entry/exit,Non Residential,Restaurant/cafe,Correct incident location,E6 6LD,E6,46100668,22201228,E09000025,NEWHAM,Newham,E05000475,BECKTON,BECKTON,543100.0,181555.0,543150,181550,51.51480216,0.060923008,London,East Ham,276.0,East Ham,,,1.0,1.0,1.0,1.0,326.0
000451-01012017,1/1/17,2017,9:49:56 PM,21,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,DA8,0,20101374,E09000004,BEXLEY,Bexley,E05011225,Erith,Erith,,,550950,178450,,,London,Erith,328.0,Erith,,,1.0,1.0,1.0,1.0,326.0
000042-01012017,1/1/17,2017,12:40:22 AM,0,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,N4,0,21102919,E09000014,HARINGEY,Haringey,E05000278,SEVEN SISTERS,SEVEN SISTERS,,,532350,188150,,,London,Tottenham,381.0,Holloway,459.0,Tottenham,2.0,2.0,2.0,1.0,326.0
000095-01012017,1/1/17,2017,2:05:45 AM,2,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,N13,0,20704498,E09000010,ENFIELD,Enfield,E05000193,BOWES,BOWES,,,531450,192150,,,London,Edmonton,592.0,Hornsey,595.0,Tottenham,2.0,2.0,2.0,1.0,326.0
000170-01012017,1/1/17,2017,6:38:45 AM,6,Fire,Primary Fire,,Road Vehicle,Van ,In street remote from gazetteer location,E7 0AS,E7,100022593079,22883600,E09000031,WALTHAM FOREST,Waltham Forest,E05000590,CANN HALL,CANN HALL,539940.0,185764.0,539950,185750,51.55341532,0.01708469,London,Stratford,465.0,Leytonstone,,,1.0,1.0,1.0,2.0,652.0
000347-01012017,1/1/17,2017,4:37:34 PM,16,False Alarm,AFA,,Non Residential,Converted office ,Correct incident location,W1U 3RN,W1U,10033604674,8400283,E09000033,WESTMINSTER,Westminster,E05000641,MARYLEBONE HIGH STREET,MARYLEBONE HIGH STREET,528342.0,181300.0,528350,181350,51.51605378,-0.151731247,London,Soho,500.0,Soho,,,1.0,1.0,1.0,1.0,326.0
000409-01012017,1/1/17,2017,7:58:31 PM,19,False Alarm,AFA,,Non Residential,Hospital ,Correct incident location,UB9 6JH,UB9,10091098745,21400974,E09000017,HILLINGDON,Hillingdon,E05000330,HAREFIELD,HAREFIELD,505149.0,190913.0,505150,190950,51.60724718,-0.482975678,London,Ruislip,479.0,Ruislip,,,2.0,2.0,2.0,1.0,326.0
000302-01012017,1/1/17,2017,2:26:23 PM,14,False Alarm,AFA,,Non Residential,Large supermarket ,Correct incident location,CR8 2HA,CR8,200001205517,20500187,E09000008,CROYDON,Croydon,E05011476,Purley & Woodcote,Purley & Woodcote,531243.0,161515.0,531250,161550,51.33758366,-0.117268422,London,Purley,273.0,Purley,,,1.0,1.0,1.0,1.0,326.0
000488-01012017,1/1/17,2017,11:29:10 PM,23,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,N1,0,21604228,E09000019,ISLINGTON,Islington,E05000369,CANONBURY,CANONBURY,,,532850,184650,,,London,Islington,219.0,Islington,322.0,Stoke Newington,2.0,2.0,2.0,3.0,978.0
000224-01012017,1/1/17,2017,10:08:07 AM,10,False Alarm,False alarm - Good intent,,Dwelling,Bungalow - single occupancy ,Correct incident location,,HA3,0,20200482,E09000005,BRENT,Brent,E05000093,KENTON,KENTON,,,517850,188650,,,London,Stanmore,218.0,Stanmore,,,1.0,2.0,2.0,1.0,326.0
000363-01012017,1/1/17,2017,6:03:40 PM,18,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,DA16,0,20100486,E09000004,BEXLEY,Bexley,E05011224,East Wickham,East Wickham,,,545850,176550,,,London,Plumstead,280.0,Plumstead,336.0,Plumstead,2.0,3.0,3.0,1.0,326.0
000045-01012017,1/1/17,2017,12:42:14 AM,0,Fire,Secondary Fire,,Outdoor,Loose refuse ,On land associated with building,UB5 4JF,UB5,12035591,20601236,E09000009,EALING,Ealing,E05000184,NORTHOLT MANDEVILLE,NORTHOLT MANDEVILLE,512576.0,184822.0,512550,184850,51.55106692,-0.377721653,London,Northolt,298.0,Northolt,,,1.0,1.0,1.0,1.0,326.0
000273-01012017,1/1/17,2017,12:48:57 PM,12,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,SM6,0,22605514,E09000029,SUTTON,Sutton,E05000569,WALLINGTON NORTH,WALLINGTON NORTH,,,528750,164450,,,London,Wallington,435.0,Purley,480.0,Mitcham,2.0,2.0,2.0,3.0,978.0
000062-01012017,1/1/17,2017,1:08:23 AM,1,False Alarm,AFA,,Non Residential,Pub/wine bar/bar ,Correct incident location,HA7 3BU,HA7,100023038891,21202282,E09000015,HARROW,Harrow,E05000303,STANMORE PARK,STANMORE PARK,516687.0,192702.0,516650,192750,51.62105572,-0.315837725,London,Stanmore,294.0,Stanmore,,,1.0,1.0,1.0,1.0,326.0
000317-01012017,1/1/17,2017,3:14:57 PM,15,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,DA17 6LH,DA17,100022921300,20100227,E09000004,BEXLEY,Bexley,E05011218,Belvedere,Belvedere,549407.0,178768.0,549450,178750,51.48812905,0.150570483,London,Erith,214.0,Erith,,,1.0,1.0,1.0,1.0,326.0
000009-01012017,1/1/17,2017,12:13:27 AM,0,False Alarm,AFA,,Non Residential,Purpose built office ,Correct incident location,EC1Y 8LZ,EC1Y,10090262609,21604385,E09000019,ISLINGTON,Islington,E05000367,BUNHILL,BUNHILL,532603.0,182151.0,532650,182150,51.52271824,-0.090037763,London,Shoreditch,230.0,Shoreditch,,,1.0,1.0,1.0,1.0,326.0
000203-01012017,1/1/17,2017,8:54:55 AM,8,False Alarm,AFA,,Non Residential,Purpose built office ,Correct incident location,EC2M 7LS,EC2M,200000072459,8100186,E09000001,CITY OF LONDON,City Of london,E05009292,BISHOPSGATE,BISHOPSGATE,532937.0,181706.0,532950,181750,51.51864074,-0.085394135,London,Shoreditch,199.0,Shoreditch,,,1.0,1.0,1.0,1.0,326.0
000319-01012017,1/1/17,2017,3:21:26 PM,15,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,SE4,0,22001538,E09000023,LEWISHAM,Lewisham,E05000441,CROFTON PARK,CROFTON PARK,,,536350,174750,,,London,Forest Hill,391.0,Greenwich,533.0,Deptford,2.0,2.0,2.0,1.0,326.0
