IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£)
000863-02012017,1/2/17,2017,6:35:26 PM,18,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,N1,0,20900318,E09000012,HACKNEY,Hackney,E05009371,DE BEAUVOIR,DE BEAUVOIR,,,533150,183850,,,London,Shoreditch,290.0,Shoreditch,302.0,Islington,2.0,2.0,2.0,1.0,326.0
000814-02012017,1/2/17,2017,5:12:50 PM,17,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SE18,0,20800650,E09000011,GREENWICH,Greenwich,E05000221,GLYNDON,GLYNDON,,,544650,178650,,,London,Plumstead,,,,,1.0,1.0,1.0,1.0,326.0
000737-02012017,1/2/17,2017,1:06:22 PM,13,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SE19,0,21900606,E09000022,LAMBETH,Lambeth,E05000422,GIPSY HILL,GIPSY HILL,,,533350,170950,,,London,West Norwood,347.0,West Norwood,,,2.0,2.0,2.0,1.0,326.0
000830-02012017,1/2/17,2017,5:39:45 PM,17,Fire,Secondary Fire,,Outdoor,Tree scrub ,Open land/water - nearest gazetteer location,BR2 7HX,BR2,100020401763,20301924,E09000006,BROMLEY,Bromley,E05000119,HAYES AND CONEY HALL,HAYES AND CONEY HALL,539441.0,166502.0,539450,166550,51.38044885,0.002299714,London,Bromley,460.0,Bromley,,,1.0,1.0,1.0,1.0,326.0
000879-02012017,1/2/17,2017,7:13:50 PM,19,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,NW8,0,8400134,E09000033,WESTMINSTER,Westminster,E05000643,REGENT'S PARK,REGENT'S PARK,,,527050,183250,,,London,Paddington,347.0,Paddington,,,1.0,1.0,1.0,1.0,326.0
000768-02012017,1/2/17,2017,2:51:49 PM,14,False Alarm,AFA,,Other Residential,Nursing/Care Home/Hospice,Correct incident location,SM2 5JU,SM2,5870045440,22602687,E09000029,SUTTON,Sutton,E05000566,SUTTON SOUTH,SUTTON SOUTH,526752.0,163382.0,526750,163350,51.35538017,-0.181041106,London,Wallington,372.0,Wallington,,,1.0,1.0,1.0,1.0,326.0
000632-02012017,1/2/17,2017,11:47:39 AM,11,Special Service,Special Service,Effecting entry/exit,Dwelling,House - single occupancy ,Correct incident location,,E9,0,20901835,E09000012,HACKNEY,Hackney,E05009376,HOMERTON,HOMERTON,,,535350,185250,,,London,Homerton,574.0,Islington,,,1.0,1.0,1.0,1.0,326.0
000799-02012017,1/2/17,2017,4:34:37 PM,16,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SE1,0,22500249,E09000028,SOUTHWARK,Southwark,E05011114,St. George's,St. George's,,,531650,179550,,,London,Dowgate,338.0,Dowgate,,,1.0,1.0,1.0,1.0,326.0
000511-02012017,1/2/17,2017,1:48:06 AM,1,False Alarm,AFA,,Non Residential,Other medical establishment (including surgery) ,Within same building,W1G 7JQ,W1G,10033599885,8400408,E09000033,WESTMINSTER,Westminster,E05000641,MARYLEBONE HIGH STREET,MARYLEBONE HIGH STREET,528592.0,181922.0,528550,181950,51.52158686,-0.147903402,London,Euston,313.0,Soho,,,1.0,2.0,2.0,1.0,326.0
000589-02012017,1/2/17,2017,9:39:46 AM,9,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,W2,0,8400735,E09000033,WESTMINSTER,Westminster,E05000639,LITTLE VENICE,LITTLE VENICE,,,526750,181950,,,London,Paddington,205.0,Paddington,226.0,Paddington,1.0,2.0,2.0,1.0,326.0
